0.500000 0.484619 0.469725 0.455313 0.441379 0.427915 0.414911 0.402358 0.390244 0.378558 0.367288 0.356422 0.345946 0.335848 0.326115 0.316734 0.307692 0.298978 0.290579 0.282483 0.274678 0.267154 0.259898 0.252902 0.246154 0.239644 0.233364 0.227303 0.221453 0.215806 0.210353 0.205087 0.200000 
0.499748 0.484017 0.468823 0.454166 0.440047 0.426465 0.413423 0.400930 0.389001 0.349785 0.336225 0.321763 0.305763 0.286950 0.262559 0.225839 0.158038 0.145902 0.198933 0.219968 0.228306 0.230898 0.230602 0.228756 0.226063 0.230411 0.225095 0.219897 0.214836 0.209925 0.205172 0.200583 0.196164 
0.498960 0.482877 0.467383 0.452482 0.438177 0.424475 0.411387 0.398936 0.387160 0.321587 0.306063 0.288644 0.268391 0.243630 0.211331 0.166025 0.098621 0.085698 0.139282 0.170151 0.187680 0.197529 0.202857 0.205456 0.206398 0.221089 0.216708 0.212354 0.208070 0.203886 0.199827 0.195910 0.192154 
0.497587 0.481147 0.465351 0.450201 0.435705 0.421870 0.408715 0.396269 0.384579 0.294770 0.277796 0.258358 0.235529 0.207848 0.173111 0.128310 0.070420 0.057607 0.102347 0.133673 0.154736 0.168680 0.177840 0.183816 0.187698 0.211800 0.208293 0.204741 0.201203 0.197723 0.194339 0.191078 0.187968 
0.495575 0.478775 0.462671 0.447268 0.432570 0.418586 0.405335 0.392845 0.381164 0.269866 0.251993 0.231461 0.207520 0.179122 0.144954 0.103683 0.054749 0.042385 0.078825 0.107457 0.128910 0.144615 0.156006 0.164269 0.170322 0.202635 0.199922 0.197113 0.194277 0.191466 0.188726 0.186094 0.183607 
0.492869 0.475705 0.459292 0.443630 0.428721 0.414570 0.401193 0.388611 0.376865 0.247128 0.228850 0.207975 0.183967 0.156167 0.123900 0.086721 0.044892 0.033109 0.063110 0.088422 0.108831 0.124864 0.137302 0.146931 0.154444 0.193652 0.191647 0.189514 0.187326 0.185139 0.183004 0.180967 0.179067 
0.489412 0.471884 0.455162 0.439239 0.424113 0.409782 0.396254 0.383543 0.371673 0.226597 0.208304 0.187624 0.164205 0.137679 0.107758 0.074409 0.038099 0.026939 0.052086 0.074289 0.093129 0.108709 0.121408 0.131708 0.140095 0.184882 0.183499 0.181972 0.180372 0.178759 0.177186 0.175701 0.174350 
0.485143 0.467257 0.450232 0.434052 0.418709 0.404192 0.390499 0.377633 0.365602 0.208168 0.190147 0.170011 0.147550 0.122586 0.095043 0.065059 0.033096 0.022560 0.044005 0.063520 0.080688 0.095434 0.107912 0.118398 0.127212 0.176337 0.175493 0.174503 0.173432 0.172339 0.171280 0.170302 0.169456 
0.480000 0.461771 0.444455 0.428031 0.412478 0.397778 0.383919 0.370888 0.358680 0.191658 0.174104 0.154722 0.133400 0.110071 0.084769 0.057687 0.029225 0.019295 0.037855 0.055098 0.070668 0.084427 0.096410 0.106760 0.115678 0.168013 0.167635 0.167115 0.166513 0.165887 0.165290 0.164773 0.164384 
0.473921 0.455371 0.437787 0.421138 0.405393 0.390525 0.376509 0.363321 0.350940 0.176847 0.159889 0.141376 0.121256 0.099529 0.076277 0.051696 0.026117 0.016765 0.033023 0.048350 0.062458 0.075196 0.086541 0.096553 0.105354 0.159898 0.159920 0.159808 0.159619 0.159406 0.159221 0.159115 0.159135 
0.466844 0.448005 0.430185 0.413340 0.397432 0.382421 0.368271 0.354947 0.342415 0.163512 0.147229 0.129636 0.110720 0.090513 0.069113 0.046702 0.023548 0.014742 0.029121 0.042823 0.055616 0.067360 0.078003 0.087560 0.096095 0.151978 0.152340 0.152579 0.152748 0.152896 0.153074 0.153330 0.153712 
0.458703 0.439620 0.421606 0.404607 0.388573 0.373455 0.359207 0.345782 0.333136 0.151440 0.135878 0.119221 0.101475 0.082689 0.062961 0.042450 0.021374 0.013082 0.025896 0.038205 0.049823 0.060626 0.070551 0.079588 0.087766 0.144234 0.144883 0.145421 0.145897 0.146357 0.146850 0.147421 0.148115 
0.449438 0.430167 0.412012 0.394910 0.378799 0.363621 0.349319 0.335839 0.323126 0.140439 0.125622 0.109894 0.093272 0.075808 0.057593 0.038764 0.019496 0.011689 0.023176 0.034278 0.044844 0.054769 0.063988 0.072476 0.080241 0.136650 0.137537 0.138326 0.139061 0.139786 0.140547 0.141386 0.142349 
0.438989 0.419597 0.401367 0.384222 0.368092 0.352910 0.338610 0.325130 0.312407 0.130340 0.116279 0.101462 0.085911 0.069676 0.052840 0.035516 0.017847 0.010499 0.020842 0.030885 0.040508 0.049618 0.058155 0.066088 0.073411 0.129208 0.130289 0.131284 0.132234 0.133181 0.134165 0.135229 0.136415 
0.427300 0.407867 0.389635 0.372519 0.356438 0.341316 0.327082 0.313665 0.300995 0.120994 0.107692 0.093764 0.079233 0.064147 0.048575 0.032613 0.016377 0.009466 0.018808 0.027914 0.036684 0.045040 0.052927 0.060311 0.067179 0.121891 0.123126 0.124287 0.125411 0.126537 0.127704 0.128951 0.130317 
0.414318 0.394936 0.376788 0.359780 0.343824 0.328836 0.314737 0.301451 0.288905 0.112276 0.099730 0.086668 0.073112 0.059103 0.044701 0.029984 0.015049 0.008555 0.017012 0.025278 0.033273 0.040931 0.048201 0.055051 0.061462 0.114686 0.116038 0.117327 0.118587 0.119853 0.121163 0.122553 0.124059 
0.400000 0.380769 0.362801 0.345990 0.330243 0.315467 0.301580 0.288499 0.276149 0.104079 0.092286 0.080068 0.067445 0.054452 0.041141 0.027575 0.013833 0.007742 0.015405 0.022914 0.030200 0.037209 0.043896 0.050229 0.056188 0.107579 0.109014 0.110396 0.111755 0.113126 0.114543 0.116038 0.117647 
0.384307 0.365341 0.347655 0.331139 0.315689 0.301211 0.287615 0.274818 0.262740 0.096311 0.085267 0.073873 0.062148 0.050121 0.037835 0.025343 0.012708 0.007009 0.013954 0.020771 0.027406 0.033810 0.039944 0.045780 0.051297 0.100556 0.102044 0.103486 0.104913 0.106355 0.107843 0.109409 0.111085 
0.367213 0.348632 0.331341 0.315220 0.300164 0.286072 0.272852 0.260418 0.248689 0.088898 0.078597 0.068010 0.057152 0.046049 0.034735 0.023253 0.011656 0.006341 0.012629 0.018811 0.024842 0.030680 0.036291 0.041650 0.046736 0.093608 0.095119 0.096592 0.098055 0.099537 0.101065 0.102669 0.104380 
0.348701 0.330635 0.313855 0.298239 0.283675 0.270061 0.257303 0.245315 0.234012 0.081774 0.072213 0.062418 0.052403 0.042188 0.031802 0.021280 0.010664 0.005727 0.011409 0.017003 0.022471 0.027777 0.032892 0.037791 0.042458 0.086723 0.088231 0.089708 0.091180 0.092672 0.094211 0.095824 0.097538 
0.328767 0.311351 0.295205 0.280205 0.266236 0.253194 0.240987 0.229525 0.218727 0.074887 0.066062 0.057048 0.047855 0.038499 0.029004 0.019400 0.009719 0.005157 0.010276 0.015323 0.020262 0.025066 0.029708 0.034166 0.038425 0.079893 0.081373 0.082830 0.084284 0.085761 0.087283 0.088876 0.090566 
0.307424 0.290797 0.275411 0.261140 0.247869 0.235495 0.223924 0.213070 0.202854 0.068191 0.060100 0.051857 0.043469 0.034949 0.026317 0.017596 0.008814 0.004624 0.009217 0.013748 0.018190 0.022517 0.026706 0.030740 0.034603 0.073109 0.074540 0.075953 0.077367 0.078803 0.080284 0.081833 0.083472 
0.284698 0.269002 0.254503 0.241075 0.228605 0.216993 0.206145 0.195980 0.186418 0.061649 0.054291 0.046811 0.039215 0.031512 0.023719 0.015854 0.007940 0.004122 0.008219 0.012263 0.016233 0.020105 0.023861 0.027485 0.030963 0.066364 0.067727 0.069075 0.070426 0.071801 0.073218 0.074699 0.076263 
0.260633 0.246010 0.232523 0.220051 0.208484 0.197725 0.187685 0.178285 0.169450 0.055230 0.048605 0.041883 0.035067 0.028166 0.021193 0.014162 0.007091 0.003647 0.007272 0.010854 0.014373 0.017809 0.021148 0.024375 0.027478 0.059652 0.060928 0.062193 0.063463 0.064756 0.066089 0.067480 0.068949 
0.235294 0.221881 0.209529 0.198122 0.187556 0.177739 0.168586 0.160024 0.151983 0.048909 0.043017 0.037048 0.031004 0.024893 0.018724 0.012510 0.006263 0.003194 0.006369 0.009508 0.012594 0.015612 0.018547 0.021388 0.024125 0.052968 0.054141 0.055306 0.056478 0.057671 0.058901 0.060185 0.061538 
0.208760 0.196690 0.185591 0.175353 0.165880 0.157087 0.148897 0.141242 0.134058 0.042665 0.037506 0.032287 0.027009 0.021679 0.016302 0.010889 0.005451 0.002759 0.005502 0.008215 0.010885 0.013497 0.016041 0.018506 0.020884 0.046305 0.047362 0.048413 0.049471 0.050549 0.051661 0.052820 0.054041 
0.181132 0.170529 0.160791 0.151818 0.143525 0.135833 0.128675 0.121988 0.115718 0.036481 0.032056 0.027584 0.023068 0.018510 0.013916 0.009294 0.004652 0.002339 0.004665 0.006967 0.009232 0.011451 0.013614 0.015712 0.017738 0.039661 0.040589 0.041513 0.042444 0.043393 0.044372 0.045392 0.046467 
0.152526 0.143503 0.135225 0.127604 0.120567 0.114046 0.107981 0.102319 0.097012 0.030342 0.026652 0.022927 0.019168 0.015377 0.011559 0.007719 0.003863 0.001931 0.003852 0.005754 0.007626 0.009461 0.011251 0.012989 0.014669 0.033031 0.033820 0.034607 0.035400 0.036208 0.037042 0.037911 0.038826 
0.123077 0.115732 0.109000 0.102808 0.097094 0.091802 0.086883 0.082294 0.077995 0.024238 0.021284 0.018305 0.015300 0.012272 0.009223 0.006158 0.003082 0.001533 0.003059 0.004570 0.006058 0.007517 0.008941 0.010324 0.011663 0.026413 0.027054 0.027694 0.028339 0.028998 0.029677 0.030384 0.031128 
0.092933 0.087350 0.082235 0.077534 0.073199 0.069185 0.065457 0.061980 0.058723 0.018158 0.015942 0.013708 0.011456 0.009187 0.006904 0.004609 0.002307 0.001144 0.002282 0.003408 0.004519 0.005608 0.006671 0.007705 0.008705 0.019802 0.020290 0.020776 0.021266 0.021767 0.022283 0.022821 0.023386 
0.062257 0.058498 0.055057 0.051896 0.048981 0.046284 0.043779 0.041444 0.039258 0.012096 0.010619 0.009129 0.007629 0.006117 0.004597 0.003069 0.001536 0.000759 0.001515 0.002263 0.003001 0.003725 0.004431 0.005118 0.005784 0.013198 0.013526 0.013853 0.014183 0.014520 0.014867 0.015229 0.015610 
0.031220 0.029329 0.027599 0.026010 0.024545 0.023190 0.021932 0.020760 0.019662 0.006046 0.005307 0.004562 0.003812 0.003056 0.002297 0.001533 0.000767 0.000379 0.000756 0.001129 0.001497 0.001858 0.002211 0.002554 0.002886 0.006598 0.006763 0.006927 0.007093 0.007263 0.007437 0.007619 0.007811 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
