0.500000 0.469725 0.441379 0.414911 0.390244 0.367288 0.345946 0.326115 0.307692 0.290579 0.274678 0.259898 0.246154 0.233364 0.221453 0.210353 0.200000 
0.498960 0.466927 0.437163 0.409565 0.384012 0.360374 0.338520 0.318318 0.299640 0.282367 0.266383 0.251584 0.237869 0.225148 0.213339 0.202364 0.192154 
0.495575 0.461861 0.430782 0.402174 0.375864 0.351677 0.329442 0.308996 0.290185 0.272865 0.256906 0.242184 0.228590 0.216022 0.204390 0.193610 0.183607 
0.489412 0.454160 0.421929 0.392485 0.365593 0.341028 0.318576 0.298040 0.279238 0.262005 0.246190 0.231657 0.218284 0.205961 0.194589 0.184078 0.174350 
0.480000 0.443436 0.410291 0.380245 0.352997 0.328265 0.305794 0.285350 0.266723 0.249727 0.234193 0.219971 0.206930 0.194950 0.183926 0.173765 0.164384 
0.466844 0.429295 0.395554 0.365209 0.337885 0.313244 0.290986 0.270844 0.252580 0.235988 0.220884 0.207107 0.194515 0.182983 0.172401 0.162673 0.153712 
0.449438 0.411347 0.377421 0.347151 0.320089 0.295841 0.274064 0.254459 0.236767 0.220762 0.206249 0.193058 0.181040 0.170066 0.160024 0.150814 0.142349 
0.427300 0.389235 0.355632 0.325887 0.299481 0.275969 0.254971 0.236163 0.219268 0.204046 0.190294 0.177837 0.166522 0.156219 0.146814 0.138209 0.130317 
0.400000 0.362661 0.329986 0.301285 0.275979 0.253583 0.233690 0.215957 0.200096 0.185861 0.173046 0.161474 0.150993 0.141475 0.132806 0.124892 0.117647 
0.367213 0.331423 0.300367 0.273289 0.249569 0.228696 0.210250 0.193881 0.179298 0.166258 0.154557 0.144021 0.134504 0.125881 0.118045 0.110905 0.104380 
0.328767 0.295451 0.266771 0.241936 0.220312 0.201384 0.184734 0.170020 0.156959 0.145319 0.134903 0.125550 0.117121 0.109501 0.102589 0.096302 0.090566 
0.284698 0.254844 0.229330 0.207374 0.188359 0.171794 0.157283 0.144506 0.133202 0.123155 0.114189 0.106156 0.098932 0.092412 0.086509 0.081148 0.076263 
0.235294 0.209899 0.188331 0.169871 0.153958 0.140151 0.128100 0.117521 0.108187 0.099912 0.092544 0.085954 0.080038 0.074708 0.069889 0.065517 0.061538 
0.181132 0.161127 0.144225 0.129821 0.117452 0.106755 0.097444 0.089292 0.082115 0.075765 0.070119 0.065079 0.060560 0.056494 0.052821 0.049493 0.046467 
0.123077 0.109254 0.097619 0.087737 0.079274 0.071973 0.065631 0.060089 0.055217 0.050913 0.047091 0.043683 0.040630 0.037886 0.035409 0.033166 0.031128 
0.062257 0.055193 0.049261 0.044233 0.039935 0.036232 0.033019 0.030215 0.027753 0.025579 0.023650 0.021932 0.020393 0.019011 0.017764 0.016635 0.015610 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
