0.500000 0.484619 0.469725 0.455313 0.441379 0.427915 0.414911 0.402358 0.390244 0.378558 0.367288 0.356422 0.345946 0.335848 0.326115 0.316734 0.307692 0.298978 0.290579 0.282483 0.274678 0.267154 0.259898 0.252902 0.246154 0.239644 0.233364 0.227303 0.221453 0.215806 0.210353 0.205087 0.200000 
0.499748 0.483902 0.468587 0.453796 0.439521 0.425750 0.412473 0.399677 0.387348 0.375472 0.364035 0.353024 0.342422 0.332216 0.322390 0.312932 0.303827 0.295061 0.286621 0.278494 0.270667 0.263128 0.255866 0.248870 0.242127 0.235628 0.229363 0.223322 0.217496 0.211875 0.206451 0.201217 0.196164 
0.498960 0.482654 0.466925 0.451763 0.437157 0.423092 0.409555 0.396528 0.383998 0.371947 0.360358 0.349215 0.338502 0.328202 0.318299 0.308778 0.299622 0.290818 0.282350 0.274204 0.266367 0.258827 0.251569 0.244583 0.237857 0.231379 0.225139 0.219126 0.213332 0.207746 0.202360 0.197165 0.192154 
0.497587 0.480828 0.464696 0.449176 0.434252 0.419907 0.406125 0.392885 0.380169 0.367959 0.356235 0.344978 0.334170 0.323792 0.313827 0.304258 0.295067 0.286238 0.277756 0.269606 0.261772 0.254242 0.247001 0.240037 0.233338 0.226891 0.220687 0.214713 0.208960 0.203418 0.198078 0.192931 0.187968 
0.495575 0.478376 0.461854 0.445991 0.430767 0.416161 0.402152 0.388717 0.375835 0.363485 0.351644 0.340292 0.329407 0.318969 0.308960 0.299359 0.290149 0.281312 0.272831 0.264691 0.256874 0.249368 0.242156 0.235227 0.228566 0.222163 0.216004 0.210079 0.204377 0.198888 0.193603 0.188512 0.183607 
0.492869 0.475247 0.458354 0.442168 0.426665 0.411818 0.397604 0.383997 0.370971 0.358502 0.346565 0.335138 0.324196 0.313719 0.303684 0.294070 0.284859 0.276030 0.267567 0.259451 0.251667 0.244198 0.237030 0.230148 0.223538 0.217189 0.211087 0.205221 0.199581 0.194155 0.188933 0.183907 0.179067 
0.489412 0.471387 0.454147 0.437663 0.421905 0.406844 0.392450 0.378695 0.365549 0.352986 0.340978 0.329499 0.318523 0.308026 0.297986 0.288380 0.279186 0.270384 0.261955 0.253881 0.246144 0.238728 0.231617 0.224796 0.218251 0.211968 0.205935 0.200139 0.194570 0.189217 0.184069 0.179116 0.174350 
0.485143 0.466744 0.449185 0.432431 0.416448 0.401202 0.386658 0.372783 0.359546 0.346916 0.334862 0.323356 0.312370 0.301878 0.291855 0.282277 0.273121 0.264365 0.255989 0.247974 0.240302 0.232954 0.225915 0.219169 0.212701 0.206497 0.200545 0.194831 0.189345 0.184074 0.179009 0.174139 0.169456 
0.480000 0.461261 0.443418 0.426429 0.410255 0.394857 0.380196 0.366234 0.352937 0.340270 0.328199 0.316694 0.305724 0.295262 0.285280 0.275753 0.266656 0.257966 0.249663 0.241726 0.234135 0.226872 0.219920 0.213264 0.206887 0.200776 0.194916 0.189296 0.183903 0.178725 0.173753 0.168976 0.164384 
0.473921 0.454883 0.436795 0.419612 0.403287 0.387776 0.373034 0.359022 0.345699 0.333027 0.320971 0.309497 0.298572 0.288166 0.278251 0.268798 0.259783 0.251182 0.242972 0.235131 0.227640 0.220479 0.213631 0.207079 0.200808 0.194803 0.189049 0.183534 0.178246 0.173172 0.168303 0.163627 0.159135 
